========================= RTP Streams ========================
   Start time      End time     Src IP addr  Port    Dest IP addr  Port       SSRC          Payload  Pkts         Lost   Min Delta(ms)  Mean Delta(ms)   Max Delta(ms)  Min Jitter(ms) Mean Jitter(ms)  Max Jitter(ms) Problems?
   167.638117    179.777499      172.18.0.1  7676      172.18.0.4  6000 0x407614FF            g711A   608     0 (0.0%)          18.231          19.999          21.641           0.023           0.528           0.812 
   167.438586    179.777486      172.18.0.1  7674      172.18.0.3  6000 0x407614FD            g711A   618     0 (0.0%)          18.231          19.998          21.642           0.021           0.530           0.812 
   167.237730    179.777478      172.18.0.1  7672      172.18.0.2  6000 0x407614FB            g711A   628     0 (0.0%)           0.097          20.000          40.640           0.046           2.567           9.292 
   167.036995    179.777469      172.18.0.1  7670      172.18.0.2  6000 0x407614F9            g711A   638     0 (0.0%)          18.231          20.001          21.645           0.020           0.544           0.820 
   166.838685    179.777460      172.18.0.1  7668      172.18.0.3  6000 0x407614F7            g711A   648     0 (0.0%)          18.202          19.998          21.646           0.112           0.557           0.820 
   166.638342    179.777452      172.18.0.1  7666      172.18.0.3  6000 0x407614F5            g711A   658     0 (0.0%)           0.102          19.999          40.621           0.051           2.553           9.289 
   166.438322    179.777443      172.18.0.1  7664      172.18.0.2  6000 0x407614F3            g711A   668     0 (0.0%)          18.203          19.999          21.650           0.051           0.560           0.850 
   166.238374    179.777434      172.18.0.1  7662      172.18.0.3  6000 0x407614F1            g711A   678     0 (0.0%)          18.201          19.999          21.651           0.002           0.566           0.867 
   166.037905    179.777425      172.18.0.1  7660      172.18.0.2  6000 0x407614EF            g711A   688     0 (0.0%)           0.121          19.999          40.602           0.044           2.465           9.251 
   165.837370    179.777335      172.18.0.1  7658      172.18.0.4  6000 0x407614ED            g711A   698     0 (0.0%)           0.153          20.000          40.427           0.038           2.431           9.167 
   165.637074    179.777345      172.18.0.1  7656      172.18.0.3  6000 0x407614EB            g711A   708     0 (0.0%)           0.067          20.000          40.435           0.012           2.461           9.170 
   165.437864    179.777354      172.18.0.1  7654      172.18.0.3  6000 0x407614E9            g711A   718     0 (0.0%)           0.063          19.999          40.834           0.020           2.492           9.185 
   165.238462    179.777363      172.18.0.1  7652      172.18.0.3  6000 0x407614E7            g711A   728     0 (0.0%)          18.186          19.998          21.856           0.055           0.572           0.813 
   165.037159    179.777372      172.18.0.1  7650      172.18.0.4  6000 0x407614E5            g711A   738     0 (0.0%)          18.195          20.000          21.844           0.044           0.571           0.829 
   164.837725    179.777381      172.18.0.1  7648      172.18.0.4  6000 0x407614E3            g711A   748     0 (0.0%)          18.196          20.000          21.831           0.048           0.569           0.828 
   164.637460    179.777390      172.18.0.1  7646      172.18.0.2  6000 0x407614E1            g711A   758     0 (0.0%)           0.039          20.000          40.828           0.065           2.495           9.211 
   164.438111    179.777399      172.18.0.1  7644      172.18.0.2  6000 0x407614DF            g711A   768     0 (0.0%)           0.038          19.999          40.827           0.570           2.521           9.212 
   164.238475    179.777408      172.18.0.1  7642      172.18.0.3  6000 0x407614DD            g711A   778     0 (0.0%)           0.038          19.999          40.826           0.002           2.495           9.231 
   164.037469    179.777416      172.18.0.1  7640      172.18.0.2  6000 0x407614DB            g711A   788     0 (0.0%)           0.038          20.000          40.825           0.022           2.464           9.241 
   163.838556    179.777262      172.18.0.1  7638      172.18.0.3  6000 0x407614D9            g711A   798     0 (0.0%)          18.230          19.998          21.723           0.004           0.542           0.769 
   163.637834    179.777252      172.18.0.1  7636      172.18.0.4  6000 0x407614D7            g711A   808     0 (0.0%)          18.234          19.999          21.737           0.046           0.545           0.756 
   163.437189    179.777243      172.18.0.1  7634      172.18.0.3  6000 0x407614D5            g711A   818     0 (0.0%)          18.242          20.000          21.746           0.067           0.552           0.766 
   163.238344    179.777234      172.18.0.1  7632      172.18.0.4  6000 0x407614D3            g711A   828     0 (0.0%)           0.077          19.999          40.694           0.007           2.351           6.024 
   163.037296    179.777224      172.18.0.1  7630      172.18.0.4  6000 0x407614D1            g711A   838     0 (0.0%)          18.260          20.000          21.738           0.071           0.560           0.770 
   162.838369    179.777215      172.18.0.1  7628      172.18.0.4  6000 0x407614CF            g711A   848     0 (0.0%)           0.083          19.999          40.687           0.049           2.399           6.090 
